site_id,domain,year,third_party_script_count,third_party_domain_count,third_party_resource_count,script_norm,domain_norm,tdi
S000114,qunar.com,2024,3,1,7,0.08108108108108109,0.027777777777777776,0.05442942942942943
S000114,qunar.com,2026,3,1,7,0.08108108108108109,0.027777777777777776,0.05442942942942943
S000115,iz.ru,2022,4,6,8,0.10810810810810811,0.16666666666666666,0.13738738738738737
S000115,iz.ru,2024,5,4,8,0.13513513513513514,0.1111111111111111,0.12312312312312312
S000115,iz.ru,2026,5,4,8,0.13513513513513514,0.1111111111111111,0.12312312312312312
S000116,macys.com,2022,4,5,29,0.10810810810810811,0.1388888888888889,0.1234984984984985
S000116,macys.com,2024,16,4,31,0.43243243243243246,0.1111111111111111,0.2717717717717718
S000116,macys.com,2026,3,6,86,0.08108108108108109,0.16666666666666666,0.12387387387387387
S000117,cia.gov,2024,0,0,0,0.0,0.0,0.0
S000117,cia.gov,2026,0,0,0,0.0,0.0,0.0
S000118,google.co.kr,2022,0,0,0,0.0,0.0,0.0
S000118,google.co.kr,2024,0,0,0,0.0,0.0,0.0
S000120,google.co.nz,2022,0,0,0,0.0,0.0,0.0
S000120,google.co.nz,2024,0,0,0,0.0,0.0,0.0
S000123,ivideon.com,2022,1,5,10,0.02702702702702703,0.1388888888888889,0.08295795795795796
S000123,ivideon.com,2024,3,7,11,0.08108108108108109,0.19444444444444445,0.13776276276276278
S000123,ivideon.com,2026,3,7,14,0.08108108108108109,0.19444444444444445,0.13776276276276278
S000128,iranlms.ir,2022,0,0,0,0.0,0.0,0.0
S000129,manutouch.com.cn,2022,0,0,0,0.0,0.0,0.0
S000129,manutouch.com.cn,2024,0,0,0,0.0,0.0,0.0
S000130,kommersant.ru,2022,1,5,12,0.02702702702702703,0.1388888888888889,0.08295795795795796
S000130,kommersant.ru,2024,2,5,9,0.05405405405405406,0.1388888888888889,0.09647147147147148
S000130,kommersant.ru,2026,1,3,8,0.02702702702702703,0.08333333333333333,0.05518018018018018
S000132,softpedia.com,2022,2,2,2,0.05405405405405406,0.05555555555555555,0.054804804804804805
S000132,softpedia.com,2024,3,3,3,0.08108108108108109,0.08333333333333333,0.0822072072072072
S000132,softpedia.com,2026,2,2,2,0.05405405405405406,0.05555555555555555,0.054804804804804805
S000136,controld.com,2022,0,0,0,0.0,0.0,0.0
S000136,controld.com,2024,0,0,0,0.0,0.0,0.0
S000136,controld.com,2026,0,0,0,0.0,0.0,0.0
S000137,missouri.edu,2022,5,5,6,0.13513513513513514,0.1388888888888889,0.13701201201201202
S000137,missouri.edu,2024,5,5,6,0.13513513513513514,0.1388888888888889,0.13701201201201202
S000137,missouri.edu,2026,1,3,8,0.02702702702702703,0.08333333333333333,0.05518018018018018
S000501,btn.co.id,2022,2,3,7,0.05405405405405406,0.08333333333333333,0.06869369369369369
S000501,btn.co.id,2024,5,7,13,0.13513513513513514,0.19444444444444445,0.1647897897897898
S000502,wjgnet.com,2022,0,2,47,0.0,0.05555555555555555,0.027777777777777776
S000502,wjgnet.com,2024,0,2,38,0.0,0.05555555555555555,0.027777777777777776
S000502,wjgnet.com,2026,0,3,40,0.0,0.08333333333333333,0.041666666666666664
S000504,tendacn.com,2026,0,2,19,0.0,0.05555555555555555,0.027777777777777776
S000505,hubinternational.com,2022,7,7,9,0.1891891891891892,0.19444444444444445,0.19181681681681684
S000505,hubinternational.com,2024,10,10,13,0.2702702702702703,0.2777777777777778,0.27402402402402404
S000505,hubinternational.com,2026,11,10,14,0.2972972972972973,0.2777777777777778,0.2875375375375375
S000507,karmasearch.org,2022,2,2,2,0.05405405405405406,0.05555555555555555,0.054804804804804805
S000507,karmasearch.org,2024,3,3,3,0.08108108108108109,0.08333333333333333,0.0822072072072072
S000507,karmasearch.org,2026,4,4,4,0.10810810810810811,0.1111111111111111,0.10960960960960961
S000508,cafepress.com.au,2022,2,6,82,0.05405405405405406,0.16666666666666666,0.11036036036036036
S000508,cafepress.com.au,2024,2,6,77,0.05405405405405406,0.16666666666666666,0.11036036036036036
S000508,cafepress.com.au,2026,0,10,44,0.0,0.2777777777777778,0.1388888888888889
S000509,atlantamagazine.com,2022,6,12,22,0.16216216216216217,0.3333333333333333,0.24774774774774774
S000509,atlantamagazine.com,2024,6,11,23,0.16216216216216217,0.3055555555555556,0.23385885885885888
S000509,atlantamagazine.com,2026,6,10,14,0.16216216216216217,0.2777777777777778,0.21996996996996998
S000511,devit.software,2024,0,2,2,0.0,0.05555555555555555,0.027777777777777776
S000512,nasscom.in,2022,2,2,2,0.05405405405405406,0.05555555555555555,0.054804804804804805
S000512,nasscom.in,2024,5,4,14,0.13513513513513514,0.1111111111111111,0.12312312312312312
S000512,nasscom.in,2026,5,4,36,0.13513513513513514,0.1111111111111111,0.12312312312312312
S000514,kktcarabam.com,2022,2,2,2,0.05405405405405406,0.05555555555555555,0.054804804804804805
S000514,kktcarabam.com,2024,1,1,1,0.02702702702702703,0.027777777777777776,0.027402402402402402
S000515,treatwell.de,2022,2,16,21,0.05405405405405406,0.4444444444444444,0.24924924924924924
S000515,treatwell.de,2024,2,16,30,0.05405405405405406,0.4444444444444444,0.24924924924924924
S000515,treatwell.de,2026,2,15,36,0.05405405405405406,0.4166666666666667,0.23536036036036037
S000516,kadastr.ru,2022,0,0,0,0.0,0.0,0.0
S000517,udmercy.edu,2022,2,7,9,0.05405405405405406,0.19444444444444445,0.12424924924924925
S000517,udmercy.edu,2024,4,8,10,0.10810810810810811,0.2222222222222222,0.16516516516516516
S000517,udmercy.edu,2026,5,8,10,0.13513513513513514,0.2222222222222222,0.17867867867867868
S000518,aescripts.com,2022,0,0,0,0.0,0.0,0.0
S000518,aescripts.com,2024,0,0,0,0.0,0.0,0.0
S000518,aescripts.com,2026,3,5,18,0.08108108108108109,0.1388888888888889,0.10998498498498499
S000520,derbund.ch,2022,0,6,13,0.0,0.16666666666666666,0.08333333333333333
S000520,derbund.ch,2024,4,9,25,0.10810810810810811,0.25,0.17905405405405406
S000520,derbund.ch,2026,6,9,88,0.16216216216216217,0.25,0.20608108108108109
S000521,diaart.org,2022,3,4,4,0.08108108108108109,0.1111111111111111,0.0960960960960961
S000521,diaart.org,2024,3,4,5,0.08108108108108109,0.1111111111111111,0.0960960960960961
S000521,diaart.org,2026,3,4,5,0.08108108108108109,0.1111111111111111,0.0960960960960961
S000524,sporttiuutiset.fi,2024,1,2,3,0.02702702702702703,0.05555555555555555,0.04129129129129129
S000526,romyilano.com,2024,1,1,1,0.02702702702702703,0.027777777777777776,0.027402402402402402
S000526,romyilano.com,2026,0,0,0,0.0,0.0,0.0
S000527,mastodon.xyz,2024,0,0,0,0.0,0.0,0.0
S000527,mastodon.xyz,2026,0,0,0,0.0,0.0,0.0
S000529,lead411.com,2022,2,6,11,0.05405405405405406,0.16666666666666666,0.11036036036036036
S000529,lead411.com,2024,1,3,5,0.02702702702702703,0.08333333333333333,0.05518018018018018
S000529,lead411.com,2026,4,5,7,0.10810810810810811,0.1388888888888889,0.1234984984984985
S000530,paulsmith.com,2022,0,0,0,0.0,0.0,0.0
S000530,paulsmith.com,2024,0,0,0,0.0,0.0,0.0
S000531,theburningplatform.com,2022,17,36,64,0.4594594594594595,1.0,0.7297297297297297
S000531,theburningplatform.com,2024,6,24,47,0.16216216216216217,0.6666666666666666,0.4144144144144144
S000531,theburningplatform.com,2026,9,19,43,0.24324324324324326,0.5277777777777778,0.38551051051051055
S000532,internetwerk.de,2022,0,0,0,0.0,0.0,0.0
S000532,internetwerk.de,2024,0,0,0,0.0,0.0,0.0
S000532,internetwerk.de,2026,0,0,0,0.0,0.0,0.0
